paper_id	rating
cXs5md5wAq	4.5
rhgIgTSSxW	5.75
kKRbAY4CXv	4.25
ApjY32f3Xr	5.25
eUgS9Ig8JG	7.0
qBL04XXex6	6.0
H9DYMIpz9c	5.0
rp5vfyp5Np	4.25
miGpIhquyB	5.5
6AtXCnHCFy	3.625
9ceadCJY4B	5.666666666666667
gYcft1HIaU	4.333333333333333
10eQ4Cfh8p	3.0
BQvbL2sFQx	4.6
eR4W9tnJoZ	2.5
jx6njBKH8E	5.75
rGvDRT4Z60	3.6666666666666665
w73feIekdO	3.25
kmn0BhQk7p	7.2
cQgjz0mf0r	4.25
i8PjQT3Uig	6.666666666666667
JWrl5pJCnl	5.0
jUNSBetmAo	5.25
7QlKLvfVge	5.25
yacRhge4zQ	4.666666666666667
UVSKuh9eK5	5.666666666666667
23OEmHVkpq	5.25
E5CMyG6jl0	6.0
AOSsLRKQrX	3.5
1FWDEIGm33	3.5
dYjuJGTEbc	4.5
eepoE7iLpL	5.666666666666667
jXR5pjs1rV	4.333333333333333
lK2V2E2MNv	5.8
3wL1tj3kqE	3.25
9L9j5bQPIY	2.5
gtkFw6sZGS	5.333333333333333
7vVWiCrFnd	6.6
lNIj5FdXsC	5.25
bDWXhzZT40	6.666666666666667
DwcV654WBP	6.5
SLw9fp4yI6	7.0
My7lkRNnL9	6.5
xibcBSuuq0	5.0
B0wJ5oCPdB	6.0
IefMMX12yk	5.333333333333333
pYmQId95iR	4.25
AZGIwqCyYY	5.75
Q3aKBKCqG8	4.0
BTKAeLqLMw	6.333333333333333
AJBkfwXh3u	6.0
tmsqb6WpLz	5.75
RpKA1wqgk0	5.25
xNdE7RiRyP	5.25
TPZRq4FALB	8.0
UPyLDIVBNP	5.0
30L0rr9W8A	4.0
78iGZdqxYY	6.0
D6Htk1rwkK	4.25
k65Nh7IV6X	4.5
9k0krNzvlV	5.75
n1LiKueC4F	5.25
D0zeqL7Vnz	5.5
elMKXvhhQ9	7.0
O3BaKCxTAO	3.6666666666666665
Iyve2ycvGZ	6.0
j7S7o6ROn9	5.0
7Yg5eylBHe	3.25
fGskrC9Wy1	2.3333333333333335
Xsrsj3cne4	3.5
wlRp8IdLkN	4.666666666666667
M11LONBkx1	5.75
2wwPG1wpsu	2.5
LegZeFYugN	5.25
4IxtmklIym	4.75
lmYGRGyL4i	4.8
P2gnDEHGu3	5.25
0JTwZ30qPH	4.0
ILStlRb1Sp	5.0
Hm6maU150b	5.666666666666667
Ebt7JgMHv1	6.333333333333333
qgyLAr2cOs	5.75
YItWKZci78	6.8
RvmrhrPy7j	3.6666666666666665
030cjlZm4a	5.666666666666667
Rd4pGjTcTj	5.5
bSlAUCyY4T	5.25
ukmh3mWFf0	3.4
l18hiEXRJS	4.5
lF2aip4Scn	6.5
jFiFmHrIfD	3.6666666666666665
TvkvWjxj3T	4.75
xVBXz7wD2m	5.25
3sOE3MFepx	2.2
2Pup7olzxj	4.75
vESNKdEMGp	6.4
DZ6B5u4vfe	4.25
PuCno7nwgH	3.75
csukJcpYDe	7.5
RzNlECeoOB	7.333333333333333
JBLHIR8kBZ	4.0
yGdoTL9g18	3.0
Pp8Kb4hejU	4.0
FI0vOp2asx	7.0
v6a1pXXADC	4.666666666666667
6yJuDK1DsK	4.5
GrunXMbdXY	4.25
UTGv8CayNt	5.5
nTwb2vBLOV	6.0
bUv5gJAAxH	3.5
QqqkskOFO9	4.0
